SL. No.,Class,Age,time,adv_bookdays,weekday,month,monthday,demand,from_ind,to_ind,Fare
88,0,36.8,42,33,0,0,3,3,1,4,8969.22
89,0,59.5,39,59,0,3,10,1,5,4,7824.5
90,0,72.8,34,43,2,7,9,2,2,4,9845.85
91,0,78.5,40,12,3,1,17,1,3,4,6366.41
93,0,66.2,40,47,3,3,27,1,5,4,7833.53
94,0,59,34,7,5,3,22,1,3,4,8036.15
95,1,25.1,48,31,2,7,16,1,5,4,13200.21
96,1,58.6,25,36,6,5,25,1,6,4,26074.49
97,0,39.2,39,34,3,0,6,2,2,4,11221.22
99,0,55.5,35,27,1,6,25,1,3,4,3676.16
101,1,58.6,38,55,3,0,27,1,5,4,20070.73
102,0,52,44,17,4,3,14,2,2,4,7754.19
103,0,53.6,34,37,6,1,6,1,6,4,11433.17
104,1,72.8,40,22,6,9,1,1,1,4,20171.31
105,1,63.1,25,37,5,6,22,1,1,4,12671.28
106,0,19.6,44,15,5,0,15,1,5,4,6881.35
107,0,66.7,35,35,5,0,8,1,1,4,3528.57
108,0,53.3,36,12,1,7,15,2,6,4,8617.88
109,1,35.8,33,46,2,6,5,1,2,4,18981.23
110,0,35,33,19,4,1,25,1,5,4,6546.86
111,0,45.9,24,10,1,0,11,2,7,4,4286.26
112,1,35.8,37,43,4,7,11,1,5,4,14798.19
113,0,36.7,31,46,3,0,20,1,2,4,6915.24
115,1,24.2,38,41,5,4,27,1,5,4,12775.04
116,0,79.2,42,22,0,1,28,2,3,4,8053.24
118,0,36.6,48,8,5,7,12,2,5,4,12690.2
119,0,79,37,7,6,8,17,1,7,4,5282.85
120,0,44.1,44,42,0,0,17,1,5,4,11360.68
121,0,27.5,44,14,6,5,4,1,6,4,12525.57
122,0,77.2,36,8,1,9,3,1,3,4,7319.01
123,0,37.5,42,31,3,2,9,1,7,4,2782.24
124,0,20.6,43,9,1,8,19,1,2,4,8564.59
125,0,80.5,45,37,0,6,17,2,6,4,18596.73
126,0,72.5,38,31,1,6,11,1,1,4,3044.93
127,0,49.7,36,3,2,0,5,1,5,4,15739.45
128,0,48,42,41,0,0,17,2,5,4,13913.98
129,0,37.6,35,16,4,3,14,1,6,4,9708.41
130,0,64.9,27,8,6,5,18,2,1,4,7377.06
131,1,80.1,38,38,2,1,9,1,3,4,13030.93
132,0,50.4,26,0,5,1,26,1,1,4,11667.65
133,0,31.3,44,11,3,8,21,2,5,4,8128.22
134,1,50.6,37,24,2,5,14,1,3,4,9718.95
135,0,77.7,40,7,6,3,23,2,3,4,11144.29
137,0,82.6,41,46,1,3,18,1,3,4,5506.38
138,0,22.5,41,15,1,7,1,1,1,4,3837.59
139,0,40.5,25,17,2,8,27,1,5,4,6357.52
140,0,56.6,26,32,1,1,22,1,7,4,2698.3
141,0,65.8,30,32,0,0,10,1,6,4,15544.32
142,0,60.9,43,30,2,4,17,1,1,4,3471.59
143,0,48.8,38,42,5,3,8,1,3,4,5914.09
144,0,58.9,36,31,6,0,9,2,1,4,5457.37
145,0,26.8,34,6,5,2,4,1,3,4,5578.03
146,0,59.9,31,19,5,8,30,1,5,4,5622.46
147,0,73.8,32,24,2,2,22,1,1,4,5448.49
148,0,39,32,17,4,7,4,1,5,4,10498.8
149,0,14.7,34,39,2,7,9,1,7,4,1577.21
150,0,22.7,44,4,4,8,15,1,2,4,9931.5
151,0,56.1,27,22,5,3,22,1,7,4,2777.37
152,0,41,43,12,4,7,18,1,2,4,9413.43
153,1,45.6,44,7,2,6,26,1,7,4,7693.38
154,1,28,38,33,6,1,13,1,3,4,13130.36
155,0,35.4,42,29,0,6,10,1,6,4,17921.87
156,1,54,40,13,5,2,11,1,1,4,16192.68
157,0,31,40,37,6,4,7,1,1,4,5232.6
158,0,20.9,33,24,5,2,4,1,7,4,1851.88
159,0,39.3,32,15,6,1,6,1,1,4,6909.27
160,1,69.6,44,64,2,6,26,1,3,4,15341.62
161,0,21.6,43,26,2,3,26,1,5,4,5473.72
162,0,79.1,38,55,5,1,5,1,6,4,10549.64
163,0,41.1,32,7,5,0,29,1,7,4,3057.17
164,0,78.1,45,8,3,6,27,2,1,4,8312.87
165,0,46.8,32,44,3,2,30,1,5,4,9900.96
166,0,79.2,40,13,1,1,22,1,5,4,9017.01
167,1,42.2,37,19,6,9,1,2,5,4,25432.9
168,1,36.4,26,27,2,9,25,1,7,4,7915.41
169,0,38.6,41,35,2,5,28,1,1,4,4085.78
170,1,61.6,32,33,4,8,8,1,6,4,17828.82
171,0,83.5,41,29,3,7,17,1,2,4,8933.83
172,0,37.6,35,8,1,5,20,1,2,4,9822.6
174,0,47,47,39,4,3,7,1,1,4,4245.93
175,1,75.2,32,45,5,6,8,1,2,4,22254.53
176,0,83.5,44,42,2,6,5,1,3,4,5348.21
177,0,66,37,25,0,8,25,2,1,4,7846.54
178,0,69.6,37,33,4,1,25,1,2,4,9141.71
179,0,16.4,43,17,5,3,1,1,6,4,8001.42
180,0,27.9,28,8,4,1,18,1,6,4,9998.07
181,0,17.8,42,36,3,1,17,1,2,4,5674.99
182,0,43.5,39,6,5,6,8,1,6,4,19625.05
183,1,41.2,37,6,4,3,7,1,5,4,23842.29
184,0,22.8,42,20,2,2,1,2,3,4,3472.52
185,0,31.2,32,34,0,0,17,1,2,4,10064.67
186,0,50.2,40,38,4,9,20,1,2,4,6655.87
187,0,83.5,44,11,4,7,18,1,5,4,10405.89
189,0,69.2,42,39,5,6,8,1,1,4,5441.18
190,0,42.1,34,14,2,2,29,1,6,4,15182.6
191,0,23.8,34,19,2,2,1,1,1,4,3862.95
192,0,58.4,46,12,1,7,1,2,1,4,6130.08
195,0,64.6,37,24,5,4,13,1,1,4,3725.3
196,0,69.5,32,19,0,0,24,1,2,4,14497.27
197,0,23.9,34,60,1,3,11,1,2,4,6604.04
198,1,36.3,34,34,5,4,6,1,2,4,18148.03
199,0,25.6,39,28,0,1,21,2,1,4,5266.3
200,0,71.7,40,45,5,0,29,1,5,4,4978.14
202,0,81.6,46,13,3,1,24,1,2,4,10769.59
203,0,71.2,43,15,3,8,28,1,1,4,4098.65
204,0,59.6,41,7,3,2,23,1,2,4,13149.89
205,0,70.6,35,35,2,9,18,1,1,4,5910.47
207,0,69.8,29,40,1,4,30,1,5,4,7928.22
210,0,24.2,31,47,1,8,12,1,7,4,1734.94
212,0,66.8,42,62,5,9,28,1,7,4,1671.73
213,0,62.2,38,1,6,6,23,1,1,4,9460.79
214,0,34,32,6,6,4,14,1,1,4,12398.2
215,0,66.2,43,8,1,4,16,2,1,4,7310.5
216,0,37.5,25,29,4,0,14,1,3,4,3931.47
217,0,57.1,27,45,6,0,30,1,1,4,5243.03
219,0,51.8,39,0,4,0,7,1,1,4,11680.14
220,1,58.3,42,1,5,0,8,1,2,4,44491.2
221,1,43,42,15,2,1,9,1,7,4,9012.69
222,0,16.2,44,30,2,4,3,1,2,4,7172.35
223,0,47.2,41,21,4,0,7,1,2,4,11636.01
224,0,36.2,43,15,6,5,11,1,6,4,13355.51
225,0,24.4,44,41,2,9,25,1,3,4,3927.9
226,1,73.9,44,4,5,8,23,1,5,4,34350.26
227,0,57.5,32,16,6,0,2,1,3,4,6135.49
228,0,40.7,40,21,3,9,5,1,2,4,7806.88
229,0,56.9,38,41,1,3,11,1,2,4,6557.9
230,0,27.9,45,23,1,7,15,1,6,4,8898.51
231,0,43.8,40,28,3,6,13,1,5,4,9762.36
232,0,75.1,44,8,6,5,4,1,5,4,11059.25
233,0,52.5,42,38,0,0,24,1,5,4,8556.25
234,0,51.2,28,35,5,6,1,1,1,4,6069.68
235,1,70.6,41,48,0,4,22,1,2,4,22405
236,0,41.7,43,21,4,0,7,2,2,4,7600.27
237,0,34.8,35,11,4,3,21,1,2,4,8391.5
238,1,52.6,47,30,6,8,10,1,1,4,21415.89
239,0,61.9,40,57,0,3,10,2,2,4,8751.94
241,1,58.4,28,11,3,1,24,1,7,4,8252.68
242,1,54.6,40,28,6,7,20,1,1,4,21185.19
243,0,19.5,48,25,6,1,20,2,2,4,9197.33
244,0,39.1,33,32,2,1,9,1,1,4,4247.88
245,0,50.4,31,3,1,4,30,1,2,4,11911.28
246,0,62.6,36,23,1,5,20,1,2,4,9352.97
247,1,30.3,36,32,3,2,16,1,2,4,15591.01
249,0,29.4,26,61,2,9,11,1,1,4,3498.32
252,1,30.8,44,24,5,5,3,2,5,4,16826.29
253,0,79.1,46,8,3,3,13,1,5,4,10622.92
254,0,78.4,42,17,3,7,10,1,1,4,3810.12
255,0,37.9,43,33,0,4,8,2,2,4,16619.1
256,0,49,30,19,2,2,22,1,7,4,2992.36
257,0,82.6,42,16,0,3,3,1,2,4,14862.65
258,1,58.7,45,15,5,4,13,2,1,4,17930.88
260,0,36.8,39,23,3,7,17,2,6,4,8252.68
261,1,31.2,40,31,3,2,16,1,5,4,13801.61
262,0,14.2,47,5,0,3,10,1,1,4,8306.35
263,0,13.8,33,48,6,3,2,1,1,4,5530.96
264,0,72.7,38,50,2,8,13,1,6,4,10627.38
265,0,39.6,32,24,2,5,21,1,5,4,6586.07
266,0,13.8,35,43,6,6,30,1,2,4,9275.38
267,1,48.7,39,13,6,0,2,1,2,4,30952.39
268,0,16.2,37,5,5,0,15,1,2,4,9147.36
269,0,53.7,40,39,0,4,15,1,3,4,8154.56
270,0,71.4,44,24,6,6,30,1,5,4,9433.12
271,0,73,26,25,3,5,29,1,3,4,3642.89
272,0,36.3,44,54,6,1,20,1,2,4,10903.47
273,0,52.3,32,3,2,4,31,1,6,4,19946.36
274,0,28.6,39,13,5,6,1,1,6,4,8083.87
276,0,67.4,36,21,0,0,10,1,2,4,9620.21
277,0,61.8,32,21,0,2,6,1,2,4,14349.29
278,1,62.5,32,6,4,2,10,1,1,4,13395.78
280,0,69.8,40,9,2,5,7,1,5,4,10434.6
281,0,47.9,43,17,0,3,24,1,3,4,7069.9
282,0,34.8,40,34,1,9,3,1,5,4,5778.89
283,0,57.4,32,0,4,3,7,1,5,4,16686.64
284,0,71.9,36,17,3,5,15,1,6,4,11580.86
285,0,80.8,41,20,3,3,27,1,2,4,9425.37
286,0,63.2,39,34,5,6,8,1,3,4,3363.25
287,0,50.9,43,51,6,7,27,1,6,4,18686.55
288,0,50.5,46,14,4,3,21,1,1,4,4384.71
289,0,54.9,29,15,6,9,1,1,6,4,18182.46
290,0,30.5,43,16,0,2,20,1,6,4,11658.12
291,0,61.4,41,46,5,1,5,1,5,4,7678.23
292,0,19.9,38,0,6,3,23,1,1,4,10667.91
293,0,60.1,27,63,1,1,22,1,1,4,5288.97
294,0,14,39,13,4,2,17,1,1,4,4447.19
295,1,66.1,37,16,0,1,14,1,1,4,21235.14
296,1,68.8,36,14,4,6,21,1,5,4,14553.45
297,0,73.8,46,12,0,0,3,2,3,4,9391.23
298,0,28.3,37,11,4,0,28,1,5,4,6395.18
299,0,59.7,39,0,0,5,19,1,2,4,18343.16
300,0,54.9,33,20,1,2,7,2,2,4,10207.6
302,0,67.5,37,34,6,1,20,2,5,4,11504.1
303,0,47.8,40,19,0,7,14,1,7,4,3248.96
306,1,46.5,34,19,6,5,18,1,5,4,38854.56
307,0,35.2,44,1,0,0,31,1,1,4,11650.69
308,0,62.2,38,22,3,7,17,1,1,4,5453.06
309,0,36,40,23,1,2,28,1,5,4,9783.05
310,0,74.5,24,17,6,8,24,2,5,4,8244.73
311,0,34.1,33,17,6,0,9,1,7,4,3444.9
312,0,64,39,58,4,3,14,1,3,4,3644.57
313,1,55.7,38,24,5,2,11,1,6,4,18064.27
314,0,36.9,40,43,1,3,11,1,1,4,4254.38
315,0,65.2,41,38,2,3,12,1,1,4,5106.99
316,0,48.6,29,33,4,3,7,1,1,4,3933.8
317,0,37.9,42,38,4,5,2,1,3,4,6259.92
318,1,73.6,42,13,2,0,5,2,3,4,9959.14
319,0,65.8,43,36,3,6,6,1,5,4,8438.42
320,0,76.4,41,26,6,4,21,1,6,4,16310.97
322,0,28.9,35,20,4,3,28,1,7,4,1654.76
323,1,39.5,29,18,6,5,18,2,5,4,25088.27
324,0,18.4,38,20,0,4,15,1,1,4,5249.29
325,1,49.9,39,9,4,5,9,1,6,4,39468.6
326,0,26.2,38,22,4,7,18,1,5,4,5440.33
327,1,71.9,36,22,3,5,22,2,1,4,13748.7
329,0,14.8,36,51,2,10,8,1,2,4,5681.26
330,0,15.2,36,8,4,0,21,1,5,4,7169.11
331,1,73.9,25,1,4,7,4,1,6,4,49519.86
332,0,65.6,42,19,0,3,10,1,1,4,8423.63
333,0,37.2,39,42,4,1,4,1,3,4,4321.63
335,0,74.6,38,37,2,9,25,1,5,4,8172.65
336,0,56.3,35,46,6,5,11,1,5,4,12240.53
337,1,20,35,1,4,2,24,1,2,4,29580.72
338,0,63.3,34,16,1,3,25,2,3,4,5829.22
339,0,52,40,20,4,4,5,1,2,4,10923.84
340,0,39.4,27,34,3,0,27,1,1,4,3940.6
342,1,33.6,43,10,1,8,12,1,5,4,19271.34
343,0,16.8,38,27,0,9,16,1,2,4,8804.35
344,0,41.1,42,19,5,1,19,1,6,4,9037.55
345,0,36.9,42,48,3,8,14,1,5,4,5954.59
346,0,32.6,39,4,0,2,27,1,3,4,9103.82
347,1,57,34,45,1,4,30,1,5,4,14207.71
348,0,42.1,44,15,3,7,31,1,5,4,8994.96
349,0,21.2,36,30,2,7,9,2,3,4,3575.63
350,0,64.3,42,13,3,2,2,1,5,4,9033.47
351,0,25.5,32,3,0,0,17,2,2,4,16518.92
352,0,57,40,10,1,0,4,1,1,4,6548.99
353,0,71.9,32,35,1,9,24,1,3,4,5340.85
354,0,71.6,43,16,6,2,5,3,2,4,14986.5
356,0,57.2,38,2,6,0,16,3,2,4,25534.56
357,0,32.6,43,9,6,5,11,1,1,4,7460.9
358,1,29.4,28,10,1,8,19,1,6,4,22639.3
359,0,67.1,44,2,0,6,31,1,2,4,26362.8
360,0,52.5,45,28,4,1,11,1,1,4,5260.27
361,0,29,32,24,0,2,13,1,5,4,8130.03
362,1,32.8,27,0,3,4,4,1,7,4,8985.62
363,0,40.8,25,27,3,2,23,1,7,4,3429.47
364,0,38.1,43,12,6,2,19,2,5,4,11168.04
366,0,71.7,38,1,6,6,30,1,5,4,21972.21
367,0,42.2,28,10,0,6,3,1,1,4,12414.8
368,1,54,42,7,5,7,5,1,1,4,13358.37
369,0,30,34,67,2,3,26,1,5,4,5288.93
370,1,70.7,40,9,0,1,28,1,2,4,45358.93
371,0,22.8,44,22,6,2,12,2,5,4,9843.23
372,0,55,43,37,3,4,18,1,5,4,5689.01
373,1,35.5,43,22,0,0,31,1,3,4,22967.03
375,0,55,40,7,1,8,5,2,5,4,11861.72
376,0,60,46,23,3,4,4,1,1,4,3517.68
377,0,32.2,26,10,5,1,12,1,5,4,6887.74
378,0,27.5,43,39,1,5,6,1,3,4,3659.64
380,0,33.2,30,9,0,6,3,1,3,4,11209.31
382,0,30.2,39,14,0,0,10,3,7,4,3060.64
384,0,34,37,13,5,7,12,1,1,4,7087.26
385,0,51.5,40,50,0,8,18,1,6,4,11081.92
386,0,40,38,15,6,0,30,1,1,4,10553.1
387,0,24.3,31,36,6,6,30,1,2,4,8951.75
388,1,38,47,6,3,0,27,2,1,4,23225.64
390,0,20.8,41,29,0,7,28,1,7,4,2276.86
391,0,71.8,31,25,0,9,16,1,7,4,2514.47
392,0,74.4,24,36,6,6,23,1,2,4,9089.11
393,1,13.5,45,4,2,6,5,1,2,4,29094.36
394,0,36.5,48,35,3,3,13,1,2,4,7217.05
395,0,51.7,37,15,5,8,2,2,5,4,6083.21
396,1,39.6,32,20,5,3,8,1,2,4,29569.44
397,0,65.7,39,4,0,6,10,1,1,4,12854.43
398,0,35.5,44,5,1,2,14,1,5,4,9830.34
399,1,51.1,40,20,5,5,24,2,1,4,15274.94
400,0,37.3,26,15,5,8,2,1,6,4,13825.58
401,0,35,40,44,6,10,5,1,3,4,5653.81
402,0,12.8,34,3,6,6,16,1,6,4,17873.13
403,1,51.9,33,31,4,9,6,1,5,4,16145.62
404,0,30.8,37,57,1,8,26,1,2,4,6065.45
405,1,35,28,22,3,4,4,2,1,4,9763.34
406,0,18.7,32,39,5,1,19,1,5,4,5191.41
407,1,18.6,32,37,1,4,30,1,1,4,8856.98
408,1,32.5,36,21,4,9,13,1,1,4,9874.82
409,0,28.3,38,19,2,9,11,1,5,4,5797.51
410,0,72,27,8,6,7,27,1,5,4,16405.68
411,0,42.8,32,25,5,2,18,1,1,4,4806.55
412,0,59.6,29,34,0,1,7,1,2,4,8976.37
414,0,34.8,36,20,0,2,13,1,2,4,16439.12
415,0,40.4,39,19,6,2,12,1,7,4,5102.37
416,1,77,29,12,2,2,22,2,1,4,10444.97
417,0,36.9,36,42,0,6,17,1,7,4,2714.04
418,0,64.7,43,18,5,4,6,2,6,4,7220.74
419,0,32,44,38,4,4,26,1,7,4,2361.72
421,0,21.4,28,25,1,7,1,1,2,4,5955.19
422,0,59.4,41,18,5,2,11,2,2,4,9997.71
424,0,21.7,46,27,1,1,1,1,7,4,1688.51
426,0,52,27,12,5,2,11,1,2,4,12031.95
427,0,13.4,45,44,3,8,14,2,5,4,6137.96
428,0,41.8,42,5,2,2,15,2,5,4,9685.99
431,0,60.4,36,8,1,7,15,1,7,4,2567.61
432,1,23.3,29,35,5,8,30,1,5,4,12775.83
433,0,26.3,36,21,3,8,21,1,6,4,6952.01
434,0,56.5,42,13,2,8,20,1,5,4,9639.96
436,0,51.5,36,6,0,7,14,1,1,4,8661.26
437,0,52.7,41,13,0,5,19,1,1,4,9921.42
438,0,53.9,34,13,4,9,6,1,6,4,9206.62
439,0,65.2,40,32,5,6,15,1,7,4,2433.88
440,0,47.5,30,23,4,2,17,1,6,4,12914.38
445,0,76,39,37,5,1,12,1,7,4,2354.01
446,0,34,46,12,6,7,20,2,5,4,11091.85
448,0,41.8,29,25,1,4,9,1,6,4,13328.85
449,0,65.2,38,22,5,4,6,1,5,4,4778.02
450,0,23.3,44,12,1,2,28,1,2,4,8465.09
452,0,62.5,32,44,5,5,3,1,5,4,8188.69
453,1,35.6,41,19,1,0,25,1,1,4,15410.28
454,0,52.3,43,49,0,3,24,2,5,4,9218.74
455,1,24.6,30,31,5,8,23,1,2,4,14851.08
457,1,54.5,40,49,6,6,2,1,3,4,13531.54
458,1,79.7,28,7,2,4,10,1,5,4,28255.13
459,1,13.6,43,39,0,6,17,1,5,4,20416.95
460,0,34.6,41,27,6,5,4,1,7,4,4338.54
461,0,56.8,27,33,4,9,27,1,2,4,6269.13
462,0,23.9,34,23,4,4,19,1,2,4,6482.09
463,1,60.3,28,59,4,6,7,1,1,4,8491.27
464,0,20.3,42,2,4,2,3,1,6,4,12623.89
465,0,59.5,43,30,2,9,25,1,5,4,5598.54
467,1,43.2,24,2,1,6,18,1,3,4,29789.63
468,1,47.2,35,7,1,3,11,1,2,4,40927.05
469,0,55.2,26,60,1,4,16,2,2,4,6221.17
470,0,32.5,40,36,3,5,8,1,7,4,2123.66
472,0,50.9,47,22,3,1,10,1,1,4,3719.4
473,0,42.9,44,5,5,8,30,1,2,4,13997.64
474,1,80,46,0,4,7,4,1,1,4,26413.32
475,0,43.8,46,16,4,1,4,1,5,4,10525.35
476,1,70.1,38,26,3,9,5,2,5,4,13147.39
477,1,49.4,44,61,1,7,22,1,6,4,20847.5
478,0,40,43,50,2,9,11,1,2,4,8070.79
479,0,36.1,41,52,5,7,26,1,7,4,2174.53
480,0,18.3,39,51,2,10,15,1,7,4,2131.16
481,0,46.3,37,15,3,3,13,2,5,4,7016.24
482,0,16.9,39,12,3,2,30,1,7,4,2032.8
483,0,27.6,32,23,3,5,1,1,1,4,3473.07
485,0,33.3,36,6,3,2,2,1,2,4,9649.97
487,0,36,35,19,0,8,11,1,5,4,14314.13
489,0,79.9,48,34,2,1,23,1,1,4,5065.55
490,1,83.1,37,11,5,9,7,1,2,4,28162.42
491,0,28.9,48,29,2,9,25,1,1,4,3477.32
493,1,16.9,34,20,5,4,6,1,3,4,9630.52
495,0,55.4,40,9,1,6,11,1,5,4,10953.78
496,0,82.8,44,31,1,8,5,1,6,4,12481.14
497,0,16.8,32,57,6,7,6,1,6,4,10066.57
498,0,46.2,43,21,5,2,18,1,2,4,11163.68
499,0,43.8,37,12,1,6,18,1,2,4,13654.44
500,0,50.3,43,3,3,5,22,1,5,4,10921.52
501,0,36.7,36,16,3,8,14,1,7,4,3317.71
502,0,32.4,38,38,1,6,18,2,7,4,1694.5
504,0,60.4,38,37,0,1,21,1,5,4,7730.67
505,0,28.1,40,20,4,2,17,2,2,4,6523.95
506,0,63.2,45,23,6,1,13,1,2,4,16776.09
507,1,80.1,34,47,5,3,29,1,6,4,26756.66
508,1,40.5,44,27,6,3,9,3,1,4,29111.7
509,0,15.2,28,48,4,6,21,1,2,4,5899.17
511,1,15.4,27,54,2,2,15,1,1,4,8389.38
512,0,54.1,42,29,5,1,19,1,2,4,9623.01
513,0,16.1,42,2,0,5,12,1,5,4,14345.07
514,0,59.2,41,38,2,1,23,1,3,4,3384.29
515,0,52.8,26,23,1,7,22,1,2,4,10334.31
516,1,19.4,32,30,3,3,13,1,1,4,8671.16
518,0,65.3,44,32,2,7,2,1,5,4,8276.63
519,0,36.4,44,23,1,6,11,2,5,4,6700.41
521,0,58.1,36,24,2,6,5,1,5,4,5551.03
522,0,32.4,36,11,2,1,2,1,6,4,8801.39
523,0,51.6,43,33,2,7,9,1,3,4,4235.06
524,1,51.6,29,25,2,6,26,1,1,4,9594.02
525,1,42.8,42,50,5,9,14,1,5,4,24205.74
526,1,15.2,40,21,4,1,18,1,5,4,13277.62
527,0,39.1,39,7,5,7,26,1,2,4,16152.45
528,0,39.4,39,26,5,5,24,1,1,4,6369.73
529,0,40,39,12,5,3,1,2,7,4,2313.89
530,1,33.6,38,13,4,4,19,1,1,4,16999.24
531,0,76.8,43,26,4,6,28,2,1,4,5542.48
532,0,56.8,40,33,3,5,8,1,2,4,6332.79
533,0,37,39,34,1,9,3,1,7,4,2137.89
534,1,37.1,44,11,4,5,30,1,7,4,7328.5
540,0,51.1,39,3,3,4,11,1,6,4,20383.48
541,1,41.3,28,49,6,10,5,1,7,4,7915.38
543,0,37.4,39,29,3,3,13,2,1,4,4254.08
545,0,37,38,5,2,4,17,1,3,4,5989.76
546,0,58.5,40,10,4,3,28,1,2,4,11684.64
547,0,44.7,42,24,0,5,5,1,3,4,9573.17
548,0,12.9,26,5,0,3,24,1,6,4,15923.25
549,0,66.4,37,32,2,4,3,1,1,4,5235.1
551,0,39,34,24,0,6,31,1,1,4,6461.57
553,1,64.4,42,58,0,8,4,1,5,4,18997.77
554,1,55.2,38,8,5,3,29,2,2,4,21522.9
555,0,36.5,38,22,2,6,5,1,3,4,6137.24
556,0,47.2,41,32,2,7,9,1,7,4,2110.95
557,0,67.3,33,21,1,8,5,1,5,4,9004.18
558,1,37.7,32,9,4,3,28,1,7,4,6709.05
559,0,25.4,40,6,6,6,2,1,5,4,11715.82
562,0,41.9,37,11,5,7,19,2,1,4,5281.44
563,0,65.8,45,65,6,10,5,1,1,4,6162.5
564,0,68.4,47,33,0,4,22,1,5,4,7970.46
